ensembl_gene_id	hgnc_symbol
1	ENSG00000000005	TNMD
2	ENSG00000000419	DPM1
3	ENSG00000000457	SCYL3
4	ENSG00000000460	C1orf112
5	ENSG00000000938	FGR
6	ENSG00000000971	CFH
7	ENSG00000001036	FUCA2
8	ENSG00000001084	GCLC
9	ENSG00000001167	NFYA
10	ENSG00000001460	STPG1
11	ENSG00000001461	NIPAL3
12	ENSG00000001497	LAS1L
13	ENSG00000001561	ENPP4
14	ENSG00000001617	SEMA3F
15	ENSG00000001626	CFTR
16	ENSG00000001629	ANKIB1
17	ENSG00000001630	CYP51A1
18	ENSG00000001631	KRIT1
19	ENSG00000002016	RAD52
20	ENSG00000002079	MYH16
21	ENSG00000002330	BAD
22	ENSG00000002549	LAP3
23	ENSG00000002586	CD99
24	ENSG00000002587	HS3ST1
25	ENSG00000002726	AOC1
26	ENSG00000002745	WNT16
27	ENSG00000002746	HECW1
28	ENSG00000002822	MAD1L1
29	ENSG00000002834	LASP1
30	ENSG00000002919	SNX11
31	ENSG00000002933	TMEM176A
32	ENSG00000003056	M6PR
33	ENSG00000003096	KLHL13
34	ENSG00000003137	CYP26B1
35	ENSG00000003147	ICA1
36	ENSG00000003249	DBNDD1
37	ENSG00000003393	ALS2
38	ENSG00000003400	CASP10
39	ENSG00000003402	CFLAR
40	ENSG00000003436	TFPI
41	ENSG00000003509	NDUFAF7
42	ENSG00000003756	RBM5
43	ENSG00000003987	MTMR7
44	ENSG00000003989	SLC7A2
45	ENSG00000004059	ARF5
46	ENSG00000004139	SARM1
47	ENSG00000004142	POLDIP2
48	ENSG00000004399	PLXND1
49	ENSG00000004455	AK2
50	ENSG00000004468	CD38
51	ENSG00000004478	FKBP4
52	ENSG00000004487	KDM1A
53	ENSG00000004534	RBM6
54	ENSG00000004660	CAMKK1
55	ENSG00000004700	RECQL
56	ENSG00000004766	VPS50
57	ENSG00000004776	HSPB6
58	ENSG00000004777	ARHGAP33
59	ENSG00000004779	NDUFAB1
60	ENSG00000004799	PDK4
61	ENSG00000004809	SLC22A16
62	ENSG00000004838	ZMYND10
63	ENSG00000004846	ABCB5
64	ENSG00000004848	ARX
65	ENSG00000004864	SLC25A13
66	ENSG00000004866	ST7
67	ENSG00000004897	CDC27
68	ENSG00000004939	SLC4A1
69	ENSG00000004948	CALCR
70	ENSG00000004961	HCCS
71	ENSG00000004975	DVL2
72	ENSG00000005001	PRSS22
73	ENSG00000005007	UPF1
74	ENSG00000005020	SKAP2
75	ENSG00000005022	SLC25A5
76	ENSG00000005059	MCUB
77	ENSG00000005073	HOXA11
78	ENSG00000005075	POLR2J
79	ENSG00000005100	DHX33
80	ENSG00000005102	MEOX1
81	ENSG00000005108	THSD7A
82	ENSG00000005156	LIG3
83	ENSG00000005175	RPAP3
84	ENSG00000005187	ACSM3
85	ENSG00000005189	REXO5
86	ENSG00000005194	CIAPIN1
87	ENSG00000005206	SPPL2B
88	ENSG00000005238	FAM214B
89	ENSG00000005243	COPZ2
90	ENSG00000005249	PRKAR2B
91	ENSG00000005302	MSL3
92	ENSG00000005339	CREBBP
93	ENSG00000005379	TSPOAP1
94	ENSG00000005381	MPO
95	ENSG00000005421	PON1
96	ENSG00000005436	GCFC2
97	ENSG00000005448	WDR54
98	ENSG00000005469	CROT
99	ENSG00000005471	ABCB4
100	ENSG00000005483	KMT2E
101	ENSG00000005486	RHBDD2
102	ENSG00000005513	SOX8
103	ENSG00000005700	IBTK
104	ENSG00000005801	ZNF195
105	ENSG00000005810	MYCBP2
106	ENSG00000005812	FBXL3
107	ENSG00000005844	ITGAL
108	ENSG00000005882	PDK2
109	ENSG00000005884	ITGA3
110	ENSG00000005889	ZFX
111	ENSG00000005893	LAMP2
112	ENSG00000005961	ITGA2B
113	ENSG00000005981	ASB4
114	ENSG00000006007	GDE1
115	ENSG00000006015	REX1BD
116	ENSG00000006016	CRLF1
117	ENSG00000006025	OSBPL7
118	ENSG00000006042	TMEM98
119	ENSG00000006047	YBX2
120	ENSG00000006059	KRT33A
121	ENSG00000006062	MAP3K14
